,prompt,response
43,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Robin has 18 pieces of gum. ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Robin has 18 pieces of gum. Robin [/INST]  Robin has 18 pieces of gum. Lucy takes 4 of them. How many pieces of gum does Robin have? </s>"" <s>""How many pieces of gum does Robin have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
44,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with There are 91 caps in ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with There are 91 caps in  [/INST]  There are 91 caps in  There are 91 caps in the pillowcase. Dave takes 5 of them. How many caps are in the pillowcase? </s>""  There are 91 caps in the pillowcase. Dave takes 5 of them. How many caps are in the pillowcase? </s>"" </s>"" </s>"" </s>"" 2631a23 caps are in the pillowcase. Dave takes 5 of them. How many caps are in the pillowcase? </s>"" </s>"" </s>"" 2631a23 caps are in the pillowcase. Dave takes 5 of them. How many caps are in the pillowcase? </s>"" </s>"" </s>"" </"
45,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Amal written 7 pages ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Amal written 7 pages  [/INST]  Amal written 7 pages and he typed 5 pages, how much more did he write than he typed? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" <s> Amal wrote 7 pages and he typed 5 pages, how much more did he write than he typed? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
46,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with To fill an order , the factory dyed ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with To fill an order , the factory dyed  [/INST]  To fill an order, the factory dyed 2080 yards of silk red and 2900 yards blue. Given the resulting color, how many yards of silk did it dye? </s>"" {most recent first} 2280 yards of silk red and 2900 yards blue. Given the resulting color, how many yards of silk did it dye? </s>"" </pre>"" </pre>"" </pre>"" </s>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </"
47,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Kamala prepared 126 kavus. If ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Kamala prepared 126 kavus. If  Kamala's kavu [/INST]  Kamala prepared 126 kavus. If Kamala's kavu equals 16 kilo, how much kavanal did you prepare? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
48,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Mary is baking a cake . The ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Mary is baking a cake . The  breadmaker has [/INST]  Mary is baking a cake. The breadmaker has 7 loaves of bread to bake. If she uses 2 loaves of bread per recipe, how many loaves will she use total? </s>""  Mary is baking a cake. The breadmaker has 7 loaves of bread to bake. If she uses 2 loaves of bread per recipe, how many loaves will she use total? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
49,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with A piggy bank contains $ 19.75 ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with A piggy bank contains $ 19.75  [/INST]  A piggy bank contains $ 19.75. It contains $ 7.45 per share. Find the total amount of money held in the bank. </s>"", ""cv"" : ""https://en.wikipedia.org/wiki/Piggy_bank_with_interest_bearing_sheets"", ""description"" : ""A piggy bank with interest bearing sheets contains $ 19.75. It contains $ 7.45 per share. Find the total amount of money held in the bank. </s>"" } ""http://learningobjectives.org/en/math-words-charts/what-is-the-total-amount-of-"
50,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Sally had 13 peaches at her roadside fruit ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Sally had 13 peaches at her roadside fruit iced-tea [/INST]  Sally had 13 peaches at her roadside fruit iced-tea stand. Her mother gave her 15 more. How many peaches does Sally have now? </s>""  Sally had 13 peaches at her roadside fruit stand. Her mother gave her 15 more. How many peaches does Sally have now? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" > Sally had 13 peaches at her roadside fruit stand. Her mother gave her 15 more. How many peaches does Sally have now? </s>"" </s>"" </s>"" </s>"""
51,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with There are 10 cages ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with There are 10 cages  [/INST]  There are 10 cages in the zoo and Governer banned 8 cages. How many cages are there now? </s>"" <s>""How many cages are there now?""</s>"" </s>"" </s>"" How many cages are there now? </s>"" </s>"" </s>"" </s>"" How many cages are there now? </s>"" </s>"" </s>"" </s>"" How many cages are there now? </s>"" </s>"" </s>"" </s>"" </s>"" How many cages are there now? </s>"" </s>"" </s>"" </s>"" How many cages are there now? </s>"" </s>"" </s>"" How many cages are"
52,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Sehan and Charith own a factory. ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Sehan and Charith own a factory.  Sehan bought 500 kg flour and Charith bought 750 kg flour. How many kilograms more flour did Sehan buy than Charith? </s>"" </INST> </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
53,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Joe and Ann have 11 oranges ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Joe and Ann have 11 oranges  [/INST]  Joe and Ann have 11 oranges  Joe has 3 fewer oranges than Ann. How many oranges does Joe have? </s>""  Joe has 3 fewer oranges than Ann. How many oranges does Ann have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
54,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Ranil is 10 years ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Ranil is 10 years  [/INST]  Ranil is 10 years old and his friend is 9 years older than him. How old is the friend? </s>""  Ranil is 10 years old and his friend is 9 years older than him. How old is the friend? </s>"" </s>"" </s>"" <s>""How old is the friend? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" <s>""How old is the friend? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
55,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Jason has 44 blue and 16 ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Jason has 44 blue and 16  [/INST]  Jason has 44 blue and 16  Jason has 25 extra blue balls. How many blue balls does Jason have? </s>""  Jason has 44 blue balls. How many blue balls does Jason have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
56,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Sam had 9 accounts in his ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Sam had 9 accounts in his  [/INST]  Sam had 9 accounts in his bank and his dad opened 8 more accounts. How many accounts does Sam have now? </s>"" </s>"" </s>"" </s>"" <s>""How many accounts does Sam have now? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
57,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Dan picked 9 grapes ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Dan picked 9 grapes  [/INST]  Dan picked 9 grapes  Dan picked 9 grapes and Sara picked 4 more grapes. How many grapes did Dan pick? </s>"" </s>"" </s>"" </s>"" </s>"" <s>""How many grapes did Sara pick? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
58,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Joan found 6 seashells and ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Joan found 6 seashells and  [/INST]  Joan found 6 seashells and  Joan's dad gave her 3 more seashells. How many seashells does Joan have? </s>"" </s> </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
59,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Jose starts with 7 bottle ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Jose starts with 7 bottle  [/INST]  Jose starts with 7 bottle caps. He shares 3 with Nancy. How many bottle caps does Jose end with? </s>""  Jose starts with 7 bottle caps. He shares 3 with Nancy. How many bottle caps does Jose end with? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
60,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with You have 7 balloons, and ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with You have 7 balloons, and  [/INST]  You have 7 balloons, and  You bought 22 balloons, and you have 19 balloons less than him. How many balloons does he have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" <s>""How many balloons do you have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
61,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Sunil is 20 years ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Sunil is 20 years  [/INST]  Sunil is 20 years old and Nalin is 20 years younger than Sunil. How old does Nalin is? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" <s>""How old is Nalin? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
62,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with There are 200 heads on a ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with There are 200 heads on a  [/INST]  There are 200 heads on a train. How many trains are there with 280 heads? </s>""  There are 200 heads on a train. How many trains are there with 280 heads? </s>"" </s>"" </s>"" </s>"" </s>"" <s>""There are 18 seats in a train. How many seats are there with 216 heads? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
63,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Bill has 9 books ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Bill has 9 books  [/INST]  Bill has 9 books  Mary has 4 fewer books than Bill. How many books does Mary have? </s>"" </s>"" </s>"" > 14. How many books does Mary have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
64,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Bill has 9 marbles ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Bill has 9 marbles  [/INST]  Bill has 9 marbles  Mary has 5 more marbles than Bill. How many marbles does Mary have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
65,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with How many liter of pure hydrochloric acid must ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with How many liter of pure hydrochloric acid must  [/INST]  How many liter of pure hydrochloric acid must be added to 4 liters of 50 % hydrochloric acid to obtain 80 % hydrochloric acid? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
66,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Linda has 34 candies. ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Linda has 34 candies.  Linda [/INST]  Linda has 34 candies. She gives out 18. How many candies does she have left? </s>"" }, ""q"": { ""language"": ""English"", ""name"": ""Linda has 34 candies. She gives out 18. How many candies does she have left? </s>"" }, ""pagecontext"": "" 1. Lillian has 23 candies. She needs help finding 22 candies. How many candies does she have? </page>"" }, ""memory"": { ""name"": ""Lillian has 23 candies. She needs help finding 22 candies. How many candies does she have? </memory>"" }, ""date"": ""2016-01"
67,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with The car has 13 ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with The car has 13  [/INST]  The car has 13 empty seats and the driver has 4 seats. How many empty seats does the car have? </s>""  The car has 13 empty seats and the driver has 4 seats. How many empty seats does the car have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
68,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Greg and Sharon own neighboring cornfields. Greg ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Greg and Sharon own neighboring cornfields. Greg  [/INST]  Greg and Sharon own neighboring cornfields. Greg harvested 0.4 acres of corn on Monday and Sharon harvested 0.3 acre. How many more acres did Greg harvest than Sharon? </s>"" </s>"" > <s>"" Greg and Sharon own neighboring cornfields. Greg harvested 0.4 acres of corn on Monday and Sharon harvested 0.3 acre. How many more acres did Greg harvest than Sharon? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
69,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Shan is 18 years ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Shan is 18 years  [/INST]  Shan is 18 years old and his friend is 4 years older than him. How old is the friend? </s>""  Shan is 18 years old and his friend is 4 years older than him. How old is the friend? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
70,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with you want to mix a 30 % solution ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with you want to mix a 30 % solution  [/INST]  you want to mix a 30 % solution with 30 % citric acid. How much of each should you use? </s>""  you want to mix a 30 % solution with 30 % citric acid. How much of each should you use? </s>""

How many citric acid tablets do you need to mix with 5 % solution? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
71,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Mike and Sandi put 12 dimes ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Mike and Sandi put 12 dimes  [/INST]  Mike and Sandi put 12 dimes into a change purse and Mike put in 10 dimes. How many dimes did Sandi put in? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
72,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with There are 11 parrots ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with There are 11 parrots  [/INST]  There are 11 parrots  and 10 crows in a cage. How many birds are in the cage? </s>""  There are 11 parrots and 10 crows in a cage. How many birds are in the cage? </s>"" </s>""  There are 11 parrots and 10 crows in a cage. How many birds are in the cage? </s>"" </s>"" </s>"" </s>"" The number of birds in the cage is 49. How many birds are in the cage? </s>"" </s>"" </s>"" </s>"" </s>"" How many birds are in the cage? </s>"" </s>"" </s>"" </s>"" How"
73,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Amal and Vimal running a car ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Amal and Vimal running a car  [/INST]  Amal and Vimal running a car business. Amal buys 64 cars and Vimal buys 25 cars. How many more cars does Amal buy than Vimal? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
74,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Amal bought 12 tickets ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Amal bought 12 tickets  [/INST]  Amal bought 12 tickets and gave Nimal 8 of the tickets. How many tickets does Amal have now? </s>""


It was suggested that an airline should issue 30 tickets to avoid over-selling. How many tickets does Amal have now? </s>""


How many tickets does Amal have now? </s>""


How many tickets does Amal have now? </s>""


How many tickets does Amal have now? </s>""


How many tickets does Amal have now? </s>""


How many tickets does Amal have now? </s>""


How many tickets does Amal have now? </s>""

"
75,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Dina made cookies and she used ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Dina made cookies and she used  [/INST]  Dina made cookies and she used 0.625 kg flour and 0.25 kg sugar. How much more sugar than flour did Dina use? </s>""  Dina made cookies and she used 0.625 kg flour and 0.25 kg sugar. How much more sugar than flour did Dina use? </s>"" </s>"" </s>"" If you used 1.25 kg flour and 0.625 kg sugar, how much more sugar than flour did Dina use? </s>"" </s>"" </s>"" </s>"" </s>""How much more sugar than flour did Dina use? </s>"" </s>"" </s>""How much more sugar than"
76,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Eight years ago , Hold was 7 times older ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Eight years ago , Hold was 7 times older  [/INST]  Eight years ago, Hold was 7 times older than Today's Tom. Each year, the pair grows 7 years older. How old is Hold now? </s>"" <s>""How old is Tom? </s>"" </s>"" </s>"" </s>"" How old is Hold? </s>"" </s>"" </s>"" </s>"" How old is Tom? </s>"" </s>"" </s>"" </s>"" How old is Today's Hold? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
77,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Dina made cookies and she used ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Dina made cookies and she used  [/INST]  Dina made cookies and she used 0.625 kg flour and 1.25 kg sugar. How much more sugar than flour did Dina use? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" <s>"" How much more sugar than flour did Dina use? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
78,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Teresa jogs at 5 ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Teresa jogs at 5  [/INST]  Teresa jogs at 5 kilometers per hour. How far does she jog in 1 hour? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
79,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with vimaala and Nimala collected 40 ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with vimaala and Nimala collected 40 ikari leaves [/INST]  vimaala and Nimala collected 40 ikari leaves and vimaala gave Nimala 25 of the ikari leaves. How many ikari leaves does Nimala have now? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
80,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Daniel picked 100 limes ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Daniel picked 100 limes  [/INST]  Daniel picked 100 limes  Daniel picked 31 limes and gave Sara 24 of the limes. How many limes does Daniel have now? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" <s>""How many limes does Daniel have now? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
81,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with If I buy 80 ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with If I buy 80  [/INST]  If I buy 80 books on the bookshop shelf, and 30 are out of stock, how many books will I have? </s>"" <s>""How many books will I have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
82,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Evelyn starts with 63 bottle ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Evelyn starts with 63 bottle  [/INST]  Evelyn starts with 63 bottle  bottles of water. She shares 73 with Christine. How many bottles does Evelyn end with? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
83,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with 6522 liters of oil, minus 5165 liters of ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with 6522 liters of oil, minus 5165 liters of  [/INST]  6522 liters of oil, minus 5165 liters of oil, was found in the bunker. If 19.8 liters of oil were added, how many liters of oil would be left? </s>""  6522 liters of oil, minus 5165 liters of oil, was found in the bunker. If 19.8 liters of oil were added, how many liters of oil would be left? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" <s>"""
84,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Dina made cookies and she used ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Dina made cookies and she used ____ [-]  Dina made cookies and she used 3 kg flour and 5 kg sugar. How much more sugar than flour did Dina use? </s>""  Dina used 3 kg flour and 5 kg sugar. How much more sugar than flour did Dina use? </s>"" </INST>"" </s>"" How much more sugar did Dina use than cream of tartar? How much more sugar than flour did Dina use? </s>"" </s>"" </s>"" How much less flour than flour did Dina use? </s>"" </s>"" How much less flour than cream of tartar did Dina use? </s>"" </s>"" How much more sugar than cream of"
85,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with The school cafeteria had 38 apples. If ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with The school cafeteria had 38 apples. If  [/INST]  The school cafeteria had 38 apples. If 15 apples were taken away each day, how many days would it take to end up with 58 apples? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" <s>""The school cafeteria had 38 apples. If 15 apples were taken away"
